iter	RMSE
180	4.770665171
181	4.768440459
182	4.765196095
183	4.761471831
184	4.758954429
185	4.749754255
186	4.746592325
187	4.743677456
188	4.739699714
189	4.736349421
190	4.729567155
191	4.727000193
192	4.723467748
193	4.720162881
194	4.715907001
195	4.712093321
196	4.706538475
197	4.702727408
198	4.699892641
199	4.697103707
200	4.693107113
201	4.690866114
202	4.685647498
203	4.679758627
204	4.677696026
205	4.671039741
206	4.669636182
207	4.665107315
208	4.662001798
209	4.659160025
210	4.655432477
211	4.652174769
212	4.648619249
213	4.645091844
214	4.641062177
215	4.633382457
216	4.623928041
217	4.621316755
218	4.618739005
219	4.61554541
220	4.613536531
221	4.611160122
222	4.606751996
223	4.604391805
224	4.597840248
225	4.59603121
226	4.593103455
227	4.59129195
228	4.588977243
229	4.586956226
230	4.585025612
231	4.57770819
232	4.575288113
233	4.572988612
234	4.570447048
235	4.568245149
236	4.566168788
237	4.562514293
238	4.557023912
239	4.553744983
240	4.552410166
241	4.546571092
242	4.540539304
243	4.535667578
244	4.532795321
245	4.530986566
246	4.5260725
247	4.519802675
248	4.517152993
249	4.514999035
250	4.51111558
251	4.508810266
252	4.506593773
253	4.503850984
254	4.502093363
255	4.497019287
256	4.494487145
257	4.49188688
258	4.489869745
259	4.48175192
260	4.479781861
261	4.475256671
262	4.474017664
263	4.470125888
264	4.464208175
265	4.461811088
266	4.456891152
267	4.454910716
268	4.448715494
269	4.441920342
270	4.439518226
271	4.435545118
272	4.432888567
273	4.428295061
274	4.422485832
275	4.415023534
276	4.410533807
277	4.40858256
278	4.407168964
279	4.402656858
280	4.398072447
281	4.390975284
282	4.386080616
283	4.383671072
284	4.381030386
285	4.379664418
286	4.376900265
287	4.373255504
288	4.366256574
289	4.36386626
290	4.360812472
291	4.357649785
292	4.353681668
293	4.352101734
294	4.350653462
295	4.347312364
296	4.346189623
297	4.345471584
298	4.343278356
299	4.342322866
300	4.336496696
301	4.334969165
302	4.332507508
303	4.330443149
304	4.328887541
305	4.328301557
306	4.326384329
307	4.323791596
308	4.319001497
309	4.31684485
310	4.310780938
311	4.310206408
312	4.308596591
313	4.304718124
314	4.299038679
315	4.294127827
316	4.288282878
317	4.285788811
318	4.285174615
319	4.282687333
320	4.279524005
321	4.278275015
322	4.272847561
323	4.269012514
324	4.266896371
325	4.26441554
326	4.261274851
327	4.260735841
328	4.256839302
329	4.252218772
330	4.251445635
331	4.249108473
332	4.24819338
333	4.244695506
334	4.242135834
335	4.236906673
336	4.230219825
337	4.228049046
338	4.226223459
339	4.222380956
340	4.220574617
341	4.217931695
342	4.212550282
343	4.208327479
344	4.206657861
345	4.204920298
346	4.204400516
347	4.201886866
348	4.198267484
349	4.196292337
350	4.195516631
351	4.190705729
352	4.184381645
353	4.179474108
354	4.17808844
355	4.175611284
356	4.173526832
357	4.16947085
358	4.168949175
359	4.16509698
360	4.160167509
361	4.159499824
362	4.157804021
363	4.153104076
364	4.152625973
365	4.14898423
366	4.144941796
367	4.142296172
368	4.139895002
369	4.138520814
370	4.134778675
371	4.133705244
372	4.129040971
373	4.124086963
374	4.118157654
375	4.114917275
376	4.111234322
377	4.109287947
378	4.104500492
379	4.102898099
380	4.098084514
381	4.097338353
382	4.096649288
383	4.096357363
384	4.092020807
385	4.089896866
386	4.089015207
387	4.084296292
388	4.080922911
389	4.075654308
390	4.074799152
391	4.072015174
392	4.069937425
393	4.069075322
394	4.066224246
395	4.065330425
396	4.063932639
397	4.060168756
398	4.059525191
399	4.058237941
400	4.055245782
401	4.054780115
402	4.052853067
403	4.047542489
404	4.044672668
405	4.042914587
406	4.038452961
407	4.033492833
408	4.030762711
409	4.027673888
410	4.026877053
411	4.025373294
412	4.021954256
413	4.018693347
414	4.018261258
415	4.016948699
416	4.015113198
417	4.010316803
418	4.009757522
419	4.006068182
420	4.005641768
421	4.004831786
422	3.999324011
423	3.997456627
424	3.996141551
425	3.99436372
426	3.993753378
427	3.990343587
428	3.987735419
429	3.98709164
430	3.982812635
431	3.982262386
432	3.97873032
433	3.97735667
434	3.976967384
435	3.976534065
436	3.97266778
437	3.968162667
438	3.964677067
439	3.963997453
440	3.960703412
441	3.960098563
442	3.958731154
443	3.955959014
444	3.954471652
445	3.950160947
446	3.947772209
447	3.946974637
448	3.941482989
449	3.941079534
450	3.938756039
451	3.934347481
452	3.930861442
453	3.927332605
454	3.923469501
455	3.919158888
456	3.914842713
457	3.910982283
458	3.907598447
459	3.90383834
460	3.902607022
461	3.901426954
462	3.897460478
463	3.896939929
464	3.89392512
465	3.889883342
466	3.889444279
467	3.888830249
468	3.884594126
469	3.880773028
470	3.877614388
471	3.872603462
472	3.869238797
473	3.866600989
474	3.864577128
475	3.861835366
476	3.861267995
477	3.858895722
478	3.858369327
479	3.855257456
480	3.854133264
481	3.850371674
482	3.848809579
483	3.845412558
484	3.842238609
485	3.839245313
486	3.838848246
487	3.834570803
488	3.831700609
489	3.828481095
490	3.826692985
491	3.825673416
492	3.821810108
493	3.821368234
494	3.819162005
495	3.818790768
496	3.814397408
497	3.811050696
498	3.807912824
499	3.805338452
500	3.8029855
501	3.800859707
502	3.799807549
503	3.795950038
504	3.795576296
505	3.794527653
506	3.79220718
507	3.789807483
508	3.789417673
509	3.788295138
510	3.787713016
511	3.787431321
512	3.785084616
513	3.784759018
514	3.782461598
515	3.782048253
516	3.781727181
517	3.781364542
518	3.781041991
519	3.778724233
520	3.777193526
521	3.77353271
522	3.773203525
523	3.769500157
524	3.767788679
525	3.765835093
526	3.76144244
527	3.757551624
528	3.756977458
529	3.756710045
530	3.754500259
531	3.752891667
532	3.752534557
533	3.75121386
534	3.748828519
535	3.746477493
536	3.745965764
537	3.74567915
538	3.742797376
539	3.739136675
540	3.737777039
541	3.737125707
542	3.736703029
543	3.735349298
544	3.73340029
545	3.731217734
546	3.728007699
547	3.727741294
548	3.725143513
549	3.724619332
550	3.720349004
551	3.717967568
552	3.715881041
553	3.715480365
554	3.711519343
555	3.708580081
556	3.703816275
557	3.702990467
558	3.702343268
559	3.698153906
560	3.695051814
561	3.691018586
562	3.686114799
563	3.683652453
564	3.67979088
565	3.678088848
566	3.675278035
567	3.67399855
568	3.673280511
569	3.672306827
570	3.668740832
571	3.668266312
572	3.668016742
573	3.664781394
574	3.661365801
575	3.66096681
576	3.660378461
577	3.656290253
578	3.651696611
579	3.647810972
580	3.645391588
581	3.642809208
582	3.640118967
583	3.639685906
584	3.637906985
585	3.636535999
586	3.635536106
587	3.633968882
588	3.633622456
589	3.630814572
590	3.62597037
591	3.624445027
592	3.624000568
593	3.621282856
594	3.61917469
595	3.618038416
596	3.614003188
597	3.611428465
598	3.608515375
599	3.607937685
600	3.606697588
601	3.604458538
602	3.603774848
603	3.600858336
604	3.599930174
605	3.597847986
606	3.594267883
607	3.593746629
608	3.591753484
609	3.590106578
610	3.589872108
611	3.586384491
612	3.585611134
613	3.581768319
614	3.578428384
615	3.575256743
616	3.574119563
617	3.573257298
618	3.571023961
619	3.567222329
620	3.563785582
621	3.563314834
622	3.562884486
623	3.559039908
624	3.5566277
625	3.553391785
626	3.552667677
627	3.550507694
628	3.550276126
629	3.546429839
630	3.546207866
631	3.543763438
632	3.543150665
633	3.542143393
634	3.538394091
635	3.537029135
636	3.534341773
637	3.532362946
638	3.52909159
639	3.527015885
640	3.523375236
641	3.521212841
642	3.518830038
643	3.516432004
644	3.516035048
645	3.515711856
646	3.513569301
647	3.510758818
648	3.509332511
649	3.509082881
650	3.506980379
651	3.505857494
652	3.505272767
653	3.504894066
654	3.504152237
655	3.503383175
656	3.498984356
657	3.495997057
658	3.493426193
659	3.490862246
660	3.490791364
661	3.488546303
662	3.485207694
663	3.482353976
664	3.481634305
665	3.47785722
666	3.473285314
667	3.472980275
668	3.470272279
669	3.46661005
670	3.464533141
671	3.461648077
672	3.459654304
673	3.45791192
674	3.456111521
675	3.454648092
676	3.453396961
677	3.45178809
678	3.450197185
679	3.449660893
680	3.449379543
681	3.448438006
682	3.446056923
683	3.444141549
684	3.442078512
685	3.440033011
686	3.436366407
687	3.433627998
688	3.431564243
689	3.430484749
690	3.427567013
691	3.425900147
692	3.425678474
693	3.423479733
694	3.422692013
695	3.419077531
696	3.417701053
697	3.415416973
698	3.414859816
699	3.410875674
700	3.408002209
701	3.406956303
702	3.40475611
703	3.403494145
704	3.402684842
705	3.402031398
706	3.401822967
707	3.400432607
708	3.397353047
709	3.396631847
710	3.39444852
711	3.392566418
712	3.391049232
713	3.390591186
714	3.389709299
715	3.388741847
716	3.386332919
717	3.386033251
718	3.385932424
719	3.385668354
720	3.384412654
721	3.383662224
722	3.381607554
723	3.380295924
724	3.378579205
725	3.376695442
726	3.373503458
727	3.37024416
728	3.368393374
729	3.366797953
730	3.364614475
731	3.361524854
732	3.358678431
733	3.357183366
734	3.354569221
735	3.352458338
736	3.350658544
737	3.348083345
738	3.346327249
739	3.344532006
740	3.341584769
741	3.341349835
742	3.340708613
743	3.340183434
744	3.339990216
745	3.337786657
746	3.335034515
747	3.33224332
748	3.328673944
749	3.32630175
750	3.325573223
751	3.324528576
752	3.32329123
753	3.32124432
754	3.319236218
755	3.316445262
756	3.314639441
757	3.312266624
758	3.31213668
759	3.311778149
760	3.310471928
761	3.307416499
762	3.304098208
763	3.301824252
764	3.301116906
765	3.298625662
766	3.295667589
767	3.293778683
768	3.293637209
769	3.29295121
770	3.292543124
771	3.289800147
772	3.289530485
773	3.28799231
774	3.2857976
775	3.283541201
776	3.280910369
777	3.278500455
778	3.276014435
779	3.273720163
780	3.27262716
781	3.270525918
782	3.269874183
783	3.268327274
784	3.267716484
785	3.267479108
786	3.264514716
787	3.264351928
788	3.262309304
789	3.26149419
790	3.259804547
791	3.259638656
792	3.257188116
793	3.257036708
794	3.256612546
795	3.255315141
796	3.252530825
797	3.251023957
798	3.249804953
799	3.247275911
800	3.247064346
801	3.245845859
802	3.245420223
803	3.243828012
804	3.241835863
805	3.241231684
806	3.237408725
807	3.234555463
808	3.23274983
809	3.231132979
810	3.230078617
811	3.228393261
812	3.227229678
813	3.227061283
814	3.225494074
815	3.225411811
816	3.224259449
817	3.222374644
818	3.218448497
819	3.216171386
820	3.212095856
821	3.211383292
822	3.209867048
823	3.207629679
824	3.207167917
825	3.20588552
826	3.2043644
827	3.20363866
828	3.202412258
829	3.202203162
830	3.201221848
831	3.199379351
832	3.199216625
833	3.196676344
834	3.194646651
835	3.192213397
836	3.190961785
837	3.189735992
838	3.189655956
839	3.18721176
840	3.187000363
841	3.185173986
842	3.184767038
843	3.181152726
844	3.178849493
845	3.1784775
846	3.176272407
847	3.174882949
848	3.173415303
849	3.173291379
850	3.172379602
851	3.169190933
852	3.167935942
853	3.16785849
854	3.167694899
855	3.167310859
856	3.164200457
857	3.163283339
858	3.162410845
859	3.159303122
860	3.158602881
861	3.156385888
862	3.154527097
863	3.153377097
864	3.152135074
865	3.151823304
866	3.151033006
867	3.148096705
868	3.145165121
869	3.144562417
870	3.141869628
871	3.140197206
872	3.140018865
873	3.137260279
874	3.136262946
875	3.133695586
876	3.132620268
877	3.13103508
878	3.128464885
879	3.127338936
880	3.12675282
881	3.126345682
882	3.12386083
883	3.122255765
884	3.121653519
885	3.121513131
886	3.119115895
887	3.118003114
888	3.116730849
889	3.11549659
890	3.114436872
891	3.11179232
892	3.110606468
893	3.108859951
894	3.106218832
895	3.105504171
896	3.104658323
897	3.103448147
898	3.103232881
899	3.102753529
900	3.101637226
901	3.101101354
902	3.099810363
903	3.097421957
904	3.096959755
905	3.095057265
906	3.092495483
907	3.091428787
908	3.089964438
909	3.08738174
910	3.085783396
911	3.085608371
912	3.084642476
913	3.08351175
914	3.082935669
915	3.078739443
916	3.076204274
917	3.075976158
918	3.075813532
919	3.074299637
920	3.073989347
921	3.07016015
922	3.067580876
923	3.066481567
924	3.064343605
925	3.061435231
926	3.060367087
927	3.060236581
928	3.060108058
929	3.059469918
930	3.058467633
931	3.056427705
932	3.055947391
933	3.053851859
934	3.051642012
935	3.050383405
936	3.049539776
937	3.047217605
938	3.045908609
939	3.044590682
940	3.044439583
941	3.042454721
942	3.04097806
943	3.040149226
944	3.039356922
945	3.038544323
946	3.03826775
947	3.035038568
948	3.032633902
949	3.032482408
950	3.03227238
951	3.030434162
952	3.028274859
953	3.025963033
954	3.023409424
955	3.021464348
956	3.021139921
957	3.01986537
958	3.019497656
959	3.019393668
960	3.01716681
961	3.015160812
962	3.014679747
963	3.012369373
964	3.00894049
965	3.00867443
966	3.006552292
967	3.004237994
968	3.00417447
969	3.003190456
970	3.002891617
971	3.001920493
972	2.999901019
973	2.99884703
974	2.998735865
975	2.997326025
976	2.996491581
977	2.995201523
978	2.993397626
979	2.991040282
980	2.990856188
981	2.990356544
982	2.988572335
983	2.988325335
984	2.986452481
985	2.985445936
986	2.984912634
987	2.984441852
988	2.982755212
989	2.98128152
990	2.98087614
991	2.978863426
992	2.977911584
993	2.975645125
994	2.972686841
995	2.971477338
996	2.969996745
997	2.969838965
998	2.96928659
999	2.968906677
